0.496,0.234234234,4
0.752,0.81981982,3
0.624,0.711711712,3
0.392,0.801801802,5
0.584,0.792792793,3
0.76,0.513513514,5
0.64,0.630630631,3
0.68,0.351351351,4
0.208,0.63963964,1
0.208,0.675675676,1
0.784,0.234234234,2
0.592,0.828828829,3
0.776,0.414414414,4
0.84,0.396396396,4
0.736,0.18018018,4
0.656,0.765765766,3
0.856,0.279279279,2
0.632,0.234234234,4
0.456,0.243243243,4
0.72,0.153153153,4
0.688,0.18018018,4
0.528,0.27027027,4
0.432,0.261261261,4
0.472,0.216216216,4
0.728,0.675675676,3
0.632,0.306306306,4
0.792,0.396396396,4
0.408,0.36036036,5
0.76,0.261261261,2
0.168,0.603603604,1
0.688,0.657657658,3
0.656,0.333333333,4
0.416,0.261261261,4
0.368,0.207207207,4
0.76,0.81981982,3
0.688,0.783783784,3
0.72,0.855855856,3
0.704,0.36036036,4
0.688,0.234234234,4
0.152,0.63963964,1
0.576,0.513513514,5
0.904,0.990990991,5
0.608,0.216216216,4
0.512,0.216216216,4
0.424,0.234234234,4
0.32,0.252252252,4
0.68,0.261261261,4
0.168,0.666666667,1
0.344,0.207207207,4
0.664,0.306306306,4
0.528,0.243243243,4
0.776,0.126126126,4
0.592,0.702702703,3
0.664,0.207207207,4
0.544,0.261261261,4
4.80E-02,0.594594595,5
0.824,0.135135135,4
0.656,0.18018018,4
0.712,0.18018018,4
0.664,0.243243243,4
0.688,0.279279279,4
0.84,0.234234234,2
0.2,0.621621622,1
0.728,7.21E-02,5
0.704,0.27027027,4
0.784,0.738738739,3
0.68,0.702702703,3
0.736,0.846846847,3
0.696,0.216216216,4
0.736,0.756756757,3
0.864,0.144144144,4
0.768,0.684684685,3
5.60E-02,0.603603604,5
0.672,0.738738739,3
0.472,0.27027027,4
0.728,0.792792793,3
0.872,0.225225225,2
0.68,0.315315315,4
0.24,0.648648649,1
0.984,0.468468469,5
0.224,0.603603604,1
0.16,0.612612613,1
0.744,0.369369369,4
0.768,0.783783784,3
0.696,0.828828829,3
0.648,0.675675676,3
0.848,0.126126126,4
0.784,0.279279279,2
1.60E-02,7.21E-02,5
0.184,0.612612613,1
0.232,0.675675676,1
0.336,0.261261261,4
0.584,0.207207207,4
0.776,0.36036036,4
0.616,0.801801802,3
0.808,0.414414414,4
0.88,0.288288288,2
0.624,0.846846847,3
0.568,0.513513514,5
0.72,0.630630631,3
0.432,0.198198198,4
0.376,0.261261261,4
0.792,0.252252252,2
0.776,0.387387387,4
0.448,0.216216216,4
0.76,0.144144144,4
0.864,0.117117117,4
0.704,0.72972973,3
0.216,0.693693694,1
0.792,0.144144144,4
0.456,0.981981982,5
0.224,0.927927928,5
0.544,0.207207207,4
0.576,0.765765766,3
0.656,0.81981982,3
0.872,0.261261261,2
0.76,0.234234234,2
0.76,0.171171171,4
0.808,0.117117117,4
0.4,0.234234234,4
0.8,0.369369369,4
0.608,0.648648649,3
0.608,0.243243243,4
0.144,0.621621622,1
0.8,0.234234234,2
0.304,0.207207207,4
0.664,0.279279279,4
0.184,0.693693694,1
0.2,0.603603604,1
0.68,0.162162162,4
0.832,0.288288288,2
0.744,0.405405405,4
0.184,0.666666667,1
0.904,0.252252252,2
0.984,0.684684685,5
0.6,0.198198198,4
0.76,0.648648649,3
0,0.36036036,5
0.36,0.243243243,4
0.632,0.198198198,4
0.712,0.315315315,4
0.816,0.396396396,4
0.736,0.720720721,3
0.328,0.225225225,4
0.832,0.261261261,2
0.48,0.243243243,4
0.168,0.693693694,1
0.808,0.279279279,2
0.92,0.963963964,5
0.744,0.63963964,3
0.904,0.27027027,2
0.592,0.72972973,3
0.736,0.738738739,3
0.84,0.108108108,4
0.728,0.378378378,4
0.416,0.207207207,4
0.184,0.63963964,1
0.704,0.864864865,3
0.736,0.144144144,4
0.608,0.765765766,3
0.624,0.27027027,4
6.40E-02,0.783783784,5
0.584,0.243243243,4
0.664,0.864864865,3
0.576,0.27027027,4
0.552,0.234234234,4
0.816,0.234234234,2
0.64,0.738738739,3
0.464,0.135135135,5
0.392,0.27027027,4
1,0.108108108,5
0.504,0.261261261,4
0.896,0.225225225,2
0.184,0.585585586,1
0.696,0.333333333,4
0,1,5
0.376,0.225225225,4
0.232,0.432432432,5
0.712,0.288288288,4
0.736,0.324324324,4
0.84,0.153153153,4
0.816,0.162162162,4
0.392,0.207207207,4
0.64,0.279279279,4
0.728,0.198198198,4
0.68,0.630630631,3
0.76,0.342342342,4
0.824,0.369369369,4
0.584,0,5
0.6,0.279279279,4
0.608,0.666666667,3
0.728,0.351351351,4
